strand_a,strand_b,n_both_answered,share_same_cluster
lutheran,reformed-presbyterian,46,0.9348
lutheran,anglican,44,0.8636
lutheran,baptist,46,0.9348
lutheran,methodist-wesleyan,46,0.9565
lutheran,pentecostal,38,0.8947
lutheran,anabaptist,44,0.9091
reformed-presbyterian,anglican,44,0.9091
reformed-presbyterian,baptist,45,0.9778
reformed-presbyterian,methodist-wesleyan,46,0.9783
reformed-presbyterian,pentecostal,38,0.8947
reformed-presbyterian,anabaptist,44,0.8864
anglican,baptist,43,0.9302
anglican,methodist-wesleyan,44,0.9091
anglican,pentecostal,36,0.8333
anglican,anabaptist,42,0.8095
baptist,methodist-wesleyan,46,0.9783
baptist,pentecostal,39,0.8718
baptist,anabaptist,44,0.8864
methodist-wesleyan,pentecostal,38,0.8684
methodist-wesleyan,anabaptist,45,0.9111
pentecostal,anabaptist,36,0.8611
