tradition,scenario,arm,level,score
buddhism,BUD-009,A1,0,1.0000
buddhism,BUD-009,A1,1,1.0000
buddhism,BUD-009,A1,2,1.0000
buddhism,BUD-009,A1,3,1.0000
buddhism,BUD-012,A1,0,1.0000
buddhism,BUD-012,A1,1,1.0000
buddhism,BUD-012,A1,2,1.0000
buddhism,BUD-012,A1,3,1.0000
buddhism,BUD-028,A1,0,1.0000
buddhism,BUD-028,A1,1,1.0000
buddhism,BUD-028,A1,2,1.0000
buddhism,BUD-028,A1,3,1.0000
buddhism,BUD-037,A1,0,1.0000
buddhism,BUD-037,A1,1,1.0000
buddhism,BUD-037,A1,2,1.0000
buddhism,BUD-037,A1,3,1.0000
buddhism,BUD-043,A1,0,0.6667
buddhism,BUD-043,A1,1,0.4167
buddhism,BUD-043,A1,2,0.5833
buddhism,BUD-043,A1,3,0.6667
buddhism,BUD-050,A1,0,1.0000
buddhism,BUD-050,A1,1,1.0000
buddhism,BUD-050,A1,2,1.0000
buddhism,BUD-050,A1,3,1.0000
eastern-christianity,BZ-007,A1,0,0.3333
eastern-christianity,BZ-007,A1,1,0.3333
eastern-christianity,BZ-007,A1,2,0.3333
eastern-christianity,BZ-007,A1,3,0.3333
eastern-christianity,BZ-029,A1,0,1.0000
eastern-christianity,BZ-029,A1,1,1.0000
eastern-christianity,BZ-029,A1,2,1.0000
eastern-christianity,BZ-029,A1,3,1.0000
eastern-christianity,BZ-042,A1,0,1.0000
eastern-christianity,BZ-042,A1,1,1.0000
eastern-christianity,BZ-042,A1,2,1.0000
eastern-christianity,BZ-042,A1,3,1.0000
eastern-christianity,BZ-088,A1,0,1.0000
eastern-christianity,BZ-088,A1,1,1.0000
eastern-christianity,BZ-088,A1,2,1.0000
eastern-christianity,BZ-088,A1,3,1.0000
eastern-christianity,BZ-096,A1,0,1.0000
eastern-christianity,BZ-096,A1,1,1.0000
eastern-christianity,BZ-096,A1,2,1.0000
eastern-christianity,BZ-096,A1,3,1.0000
eastern-christianity,BZ-099,A1,0,1.0000
eastern-christianity,BZ-099,A1,1,1.0000
eastern-christianity,BZ-099,A1,2,1.0000
eastern-christianity,BZ-099,A1,3,1.0000
roman-catholicism,COR-003,A1,0,1.0000
roman-catholicism,COR-003,A1,1,1.0000
roman-catholicism,COR-003,A1,2,0.1667
roman-catholicism,COR-003,A1,3,0.1667
roman-catholicism,COR-019,A1,0,1.0000
roman-catholicism,COR-019,A1,1,0.3333
roman-catholicism,COR-019,A1,2,0.1667
roman-catholicism,COR-019,A1,3,0.0000
roman-catholicism,COR-026,A1,0,0.3333
roman-catholicism,COR-026,A1,1,1.0000
roman-catholicism,COR-026,A1,2,-0.7500
roman-catholicism,COR-026,A1,3,0.0000
roman-catholicism,COR-038,A1,0,1.0000
roman-catholicism,COR-038,A1,1,0.0000
roman-catholicism,COR-038,A1,2,-0.3333
roman-catholicism,COR-038,A1,3,0.0000
roman-catholicism,COR-051,A1,0,1.0000
roman-catholicism,COR-051,A1,1,1.0000
roman-catholicism,COR-051,A1,2,1.0000
roman-catholicism,COR-051,A1,3,1.0000
roman-catholicism,COR-067,A1,0,1.0000
roman-catholicism,COR-067,A1,1,1.0000
roman-catholicism,COR-067,A1,2,1.0000
roman-catholicism,COR-067,A1,3,1.0000
sunni-islam,JLS-022,A1,0,1.0000
sunni-islam,JLS-022,A1,1,1.0000
sunni-islam,JLS-022,A1,2,1.0000
sunni-islam,JLS-022,A1,3,1.0000
sunni-islam,JLS-042,A1,0,1.0000
sunni-islam,JLS-042,A1,1,1.0000
sunni-islam,JLS-042,A1,2,1.0000
sunni-islam,JLS-042,A1,3,1.0000
sunni-islam,JLS-049,A1,0,1.0000
sunni-islam,JLS-049,A1,1,1.0000
sunni-islam,JLS-049,A1,2,1.0000
sunni-islam,JLS-049,A1,3,1.0000
sunni-islam,JLS-064,A1,0,0.0000
sunni-islam,JLS-064,A1,1,-1.0000
sunni-islam,JLS-064,A1,2,-0.3333
sunni-islam,JLS-064,A1,3,-0.6667
sunni-islam,JLS-079,A1,0,-1.0000
sunni-islam,JLS-079,A1,1,-0.6667
sunni-islam,JLS-079,A1,2,-1.0000
sunni-islam,JLS-079,A1,3,-0.6667
sunni-islam,JLS-083,A1,0,-1.0000
sunni-islam,JLS-083,A1,1,-1.0000
sunni-islam,JLS-083,A1,2,-1.0000
sunni-islam,JLS-083,A1,3,-1.0000
judaism,MSR-009,A1,0,0.3333
judaism,MSR-009,A1,1,0.5000
judaism,MSR-009,A1,2,-0.1667
judaism,MSR-009,A1,3,0.3333
judaism,MSR-018,A1,0,1.0000
judaism,MSR-018,A1,1,0.8333
judaism,MSR-018,A1,2,0.8333
judaism,MSR-018,A1,3,0.8333
judaism,MSR-029,A1,0,1.0000
judaism,MSR-029,A1,1,1.0000
judaism,MSR-029,A1,2,1.0000
judaism,MSR-029,A1,3,1.0000
judaism,MSR-031,A1,0,1.0000
judaism,MSR-031,A1,1,1.0000
judaism,MSR-031,A1,2,1.0000
judaism,MSR-031,A1,3,1.0000
judaism,MSR-034,A1,0,0.6667
judaism,MSR-034,A1,1,0.6667
judaism,MSR-034,A1,2,0.6667
judaism,MSR-034,A1,3,0.6667
judaism,MSR-048,A1,0,1.0000
judaism,MSR-048,A1,1,1.0000
judaism,MSR-048,A1,2,1.0000
judaism,MSR-048,A1,3,1.0000
secular-sage,SPH-015,A1,0,0.4167
secular-sage,SPH-015,A1,1,0.2500
secular-sage,SPH-015,A1,2,0.2500
secular-sage,SPH-015,A1,3,0.5833
secular-sage,SPH-016,A1,0,1.0000
secular-sage,SPH-016,A1,1,1.0000
secular-sage,SPH-016,A1,2,1.0000
secular-sage,SPH-016,A1,3,0.6667
secular-sage,SPH-017,A1,0,1.0000
secular-sage,SPH-017,A1,1,1.0000
secular-sage,SPH-017,A1,2,1.0000
secular-sage,SPH-017,A1,3,1.0000
secular-sage,SPH-018,A1,0,0.6667
secular-sage,SPH-018,A1,1,1.0000
secular-sage,SPH-018,A1,2,1.0000
secular-sage,SPH-018,A1,3,1.0000
secular-sage,SPH-019,A1,0,1.0000
secular-sage,SPH-019,A1,1,1.0000
secular-sage,SPH-019,A1,2,1.0000
secular-sage,SPH-019,A1,3,1.0000
secular-sage,SPH-040,A1,0,1.0000
secular-sage,SPH-040,A1,1,1.0000
secular-sage,SPH-040,A1,2,1.0000
secular-sage,SPH-040,A1,3,1.0000
