tradition,scenario,arm,level,score
buddhism,BUD-001,A1,0,0.3333
buddhism,BUD-001,A1,1,1.0000
buddhism,BUD-001,A1,2,0.3333
buddhism,BUD-001,A1,3,0.5833
buddhism,BUD-002,A1,0,0.8333
buddhism,BUD-002,A1,1,0.8333
buddhism,BUD-002,A1,2,1.0000
buddhism,BUD-002,A1,3,1.0000
buddhism,BUD-003,A1,0,1.0000
buddhism,BUD-003,A1,1,1.0000
buddhism,BUD-003,A1,2,1.0000
buddhism,BUD-003,A1,3,1.0000
buddhism,BUD-004,A1,0,1.0000
buddhism,BUD-004,A1,1,1.0000
buddhism,BUD-004,A1,2,1.0000
buddhism,BUD-004,A1,3,1.0000
buddhism,BUD-005,A1,0,1.0000
buddhism,BUD-005,A1,1,1.0000
buddhism,BUD-005,A1,2,1.0000
buddhism,BUD-005,A1,3,1.0000
buddhism,BUD-006,A1,0,0.6667
buddhism,BUD-006,A1,1,0.3333
buddhism,BUD-006,A1,2,0.0000
buddhism,BUD-006,A1,3,0.0000
buddhism,BUD-007,A1,0,1.0000
buddhism,BUD-007,A1,1,1.0000
buddhism,BUD-007,A1,2,1.0000
buddhism,BUD-007,A1,3,1.0000
buddhism,BUD-008,A1,0,0.9167
buddhism,BUD-008,A1,1,0.9167
buddhism,BUD-008,A1,2,1.0000
buddhism,BUD-008,A1,3,1.0000
buddhism,BUD-009,A1,0,1.0000
buddhism,BUD-009,A1,1,1.0000
buddhism,BUD-009,A1,2,1.0000
buddhism,BUD-009,A1,3,1.0000
buddhism,BUD-010,A1,0,1.0000
buddhism,BUD-010,A1,1,1.0000
buddhism,BUD-010,A1,2,1.0000
buddhism,BUD-010,A1,3,1.0000
buddhism,BUD-011,A1,0,1.0000
buddhism,BUD-011,A1,1,1.0000
buddhism,BUD-011,A1,2,1.0000
buddhism,BUD-011,A1,3,1.0000
buddhism,BUD-012,A1,0,1.0000
buddhism,BUD-012,A1,1,0.6667
buddhism,BUD-012,A1,2,1.0000
buddhism,BUD-012,A1,3,1.0000
buddhism,BUD-013,A1,0,0.0000
buddhism,BUD-013,A1,1,0.0000
buddhism,BUD-013,A1,2,-0.3333
buddhism,BUD-013,A1,3,0.0000
buddhism,BUD-014,A1,0,0.3333
buddhism,BUD-014,A1,1,0.3333
buddhism,BUD-014,A1,2,0.0000
buddhism,BUD-014,A1,3,0.0000
buddhism,BUD-015,A1,0,1.0000
buddhism,BUD-015,A1,1,1.0000
buddhism,BUD-015,A1,2,1.0000
buddhism,BUD-015,A1,3,1.0000
buddhism,BUD-016,A1,0,0.6667
buddhism,BUD-016,A1,1,0.3333
buddhism,BUD-016,A1,2,0.6667
buddhism,BUD-016,A1,3,0.6667
buddhism,BUD-017,A1,0,1.0000
buddhism,BUD-017,A1,1,1.0000
buddhism,BUD-017,A1,2,1.0000
buddhism,BUD-017,A1,3,1.0000
buddhism,BUD-018,A1,0,0.6667
buddhism,BUD-018,A1,1,0.6667
buddhism,BUD-018,A1,2,0.6667
buddhism,BUD-018,A1,3,0.6667
buddhism,BUD-019,A1,0,0.5833
buddhism,BUD-019,A1,1,0.6667
buddhism,BUD-019,A1,2,0.6667
buddhism,BUD-019,A1,3,1.0000
buddhism,BUD-020,A1,0,1.0000
buddhism,BUD-020,A1,1,1.0000
buddhism,BUD-020,A1,2,1.0000
buddhism,BUD-020,A1,3,1.0000
buddhism,BUD-021,A1,0,1.0000
buddhism,BUD-021,A1,1,1.0000
buddhism,BUD-021,A1,2,1.0000
buddhism,BUD-021,A1,3,1.0000
buddhism,BUD-022,A1,0,1.0000
buddhism,BUD-022,A1,1,1.0000
buddhism,BUD-022,A1,2,1.0000
buddhism,BUD-022,A1,3,1.0000
buddhism,BUD-023,A1,0,0.6667
buddhism,BUD-023,A1,1,0.6667
buddhism,BUD-023,A1,2,0.6667
buddhism,BUD-023,A1,3,0.5833
buddhism,BUD-024,A1,0,1.0000
buddhism,BUD-024,A1,1,1.0000
buddhism,BUD-024,A1,2,1.0000
buddhism,BUD-024,A1,3,1.0000
